host_experience_years,description_length,num_amenities,bathrooms,bedrooms,beds,neighbourhood_group_cleansed,room_type,price
3.9726027397260273,499,33,0.0,0.0,2.0,Manhattan,Private room,97.99999999999999
12.76986301369863,510,27,1.0,1.0,1.0,Manhattan,Private room,169.00000000000006
13.364383561643836,249,9,1.0,1.0,1.0,Brooklyn,Private room,55.00000000000002
10.287671232876713,494,37,1.0,1.0,1.0,Brooklyn,Private room,51.00000000000001
1.9397260273972603,417,61,1.0,1.0,1.0,Queens,Private room,143.0
7.109589041095891,359,28,1.0,1.0,1.0,Queens,Entire home/apt,68.00000000000001
13.38082191780822,391,26,1.0,1.0,1.0,Brooklyn,Private room,43.99999999999999
9.772602739726027,549,38,1.0,1.0,1.0,Manhattan,Entire home/apt,298.99999999999994
8.093150684931507,385,29,1.0,1.0,1.0,Manhattan,Entire home/apt,160.00000000000003
12.767123287671232,344,37,1.0,1.0,1.0,Manhattan,Private room,107.99999999999997
9.227397260273973,414,30,1.0,1.0,1.0,Queens,Private room,70.0
0.9671232876712329,520,42,1.0,1.0,2.0,Brooklyn,Entire home/apt,246.00000000000006
4.2246575342465755,235,24,3.0,5.0,7.0,Manhattan,Entire home/apt,297.9999999999999
1.652054794520548,431,9,1.0,1.0,1.0,Brooklyn,Private room,55.00000000000002
5.0,367,15,1.0,3.0,4.0,Manhattan,Entire home/apt,305.0
10.715068493150685,238,10,1.0,1.0,1.0,Manhattan,Private room,114.00000000000001
8.378082191780821,231,30,1.0,1.0,1.0,Manhattan,Entire home/apt,416.0
7.454794520547945,488,7,1.0,5.0,1.0,Brooklyn,Private room,42.0
7.043835616438356,480,18,1.0,1.0,1.0,Brooklyn,Private room,45.0
7.917808219178082,546,23,1.0,1.0,2.0,Manhattan,Entire home/apt,138.99999999999994
2.9095890410958902,508,70,1.0,1.0,1.0,Manhattan,Entire home/apt,136.00000000000003
8.378082191780821,271,34,1.0,2.0,2.0,Manhattan,Entire home/apt,396.0000000000001
6.3342465753424655,414,35,1.0,1.0,1.0,Manhattan,Private room,135.00000000000006
12.728767123287671,445,16,1.0,4.0,1.0,Brooklyn,Private room,50.0
10.452054794520548,261,31,1.0,1.0,1.0,Queens,Private room,70.0
3.8794520547945206,364,32,1.0,2.0,2.0,Manhattan,Entire home/apt,301.9999999999999
2.367123287671233,475,15,1.0,1.0,1.0,Bronx,Private room,64.99999999999997
6.306849315068493,67,35,1.5,1.0,1.0,Manhattan,Private room,89.99999999999997
8.378082191780821,231,30,1.0,2.0,2.0,Manhattan,Entire home/apt,428.0
12.095890410958905,514,45,2.0,1.0,1.0,Brooklyn,Entire home/apt,225.00000000000009
3.758904109589041,214,65,1.0,1.0,1.0,Manhattan,Entire home/apt,222.00000000000003
11.323287671232876,373,34,1.0,1.0,1.0,Brooklyn,Entire home/apt,180.00000000000006
7.975342465753425,489,46,1.5,1.0,1.0,Manhattan,Entire home/apt,114.99999999999999
2.4657534246575343,469,53,1.0,1.0,1.0,Queens,Private room,109.99999999999997
5.53972602739726,411,24,1.0,1.0,1.0,Brooklyn,Private room,56.999999999999986
6.167123287671233,301,44,2.0,3.0,3.0,Queens,Entire home/apt,174.99999999999994
2.271232876712329,511,61,1.0,1.0,2.0,Manhattan,Entire home/apt,375.0
10.736986301369862,246,15,1.0,1.0,1.0,Manhattan,Private room,70.0
1.0712328767123287,411,25,2.0,1.0,0.0,Queens,Private room,42.0
6.482191780821918,480,19,1.0,1.0,1.0,Manhattan,Private room,198.99999999999994
10.736986301369862,48,45,1.0,1.0,0.0,Manhattan,Private room,75.0
5.331506849315068,187,35,1.0,0.0,2.0,Queens,Private room,160.99999999999994
2.7013698630136984,268,28,1.0,0.0,1.0,Manhattan,Private room,381.0
10.756164383561643,414,6,1.0,1.0,1.0,Queens,Private room,35.0
10.553424657534247,500,29,1.0,1.0,1.0,Manhattan,Entire home/apt,401.0
2.1945205479452055,48,24,1.0,1.0,1.0,Manhattan,Hotel room,364.9999999999999
